"Type","Status","Last Updated","Nationality","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"short term visa applications","Received","28/02/2026","Micronesia (Federated States of)","*","*","*","0","0","*","*","*","*","0"
"short term visa applications","Received","28/02/2026","Moldova (the Republic of)","499","628","720","228","181","569","830","769","636","112"
"short term visa applications","Received","28/02/2026","Mongolia","257","359","348","35","46","260","345","425","438","48"
"short term visa applications","Received","28/02/2026","Montenegro","93","97","171","20","8","102","84","115","112","27"
"short term visa applications","Received","28/02/2026","Montserrat","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Morocco","810","998","1138","196","139","668","763","948","952","132"
"short term visa applications","Received","28/02/2026","Mozambique","59","39","42","6","*","52","55","62","78","13"
"short term visa applications","Received","28/02/2026","Myanmar","75","106","108","11","7","70","74","113","184","10"
"short term visa applications","Received","28/02/2026","Namibia","67","99","90","17","7","69","85","136","146","11"
"short term visa applications","Received","28/02/2026","Nauru","0","0","0","0","0","0","0","0","*","0"
"short term visa applications","Received","28/02/2026","Nepal","313","289","331","62","63","338","420","556","552","66"
"short term visa applications","Received","28/02/2026","New Caledonia","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Niger (the)","8","8","7","*","0","*","6","9","*","*"
"short term visa applications","Received","28/02/2026","Nigeria","5128","5683","6527","1234","1250","6186","5946","7159","7746","989"
"short term visa applications","Received","28/02/2026","Niue","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Norfolk Island","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","North Macedonia","368","441","420","98","70","283","272","282","336","90"
"short term visa applications","Received","28/02/2026","Northern Mariana Islands (the)","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Oman","579","652","477","41","121","339","336","470","451","46"
"short term visa applications","Received","28/02/2026","Pakistan","3578","5251","3333","760","709","4258","6352","10444","9354","1224"
"short term visa applications","Received","28/02/2026","Palau","*","0","13","*","0","*","*","*","0","0"
"short term visa applications","Received","28/02/2026","Palestine, State of","333","376","400","58","52","296","314","455","588","44"
